time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450250000	14.8479	20.3832	4.80406	2.712	0.48199	radar	2.1447	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6328	20.5023	4.81351	2.72858	0.473852	lidar	0.664209	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3997	20.5871	4.82313	2.76516	0.499625	radar	1.34198	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1542	20.6612	4.83586	2.79732	0.506516	lidar	0.801612	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9198	20.731	4.84037	2.83307	0.527823	radar	0.401455	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6509	20.7924	4.87283	2.86812	0.535402	lidar	2.00703	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4052	20.822	4.87548	2.92198	0.587083	radar	2.39934	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1571	20.8654	4.88229	2.95468	0.590228	lidar	0.199321	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9265	20.9231	4.87874	2.97653	0.58079	radar	1.73059	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7163	20.9731	4.85239	2.99759	0.573843	lidar	1.6852	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.468	21.0115	4.86506	3.02637	0.576234	radar	2.64971	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2207	21.0498	4.87596	3.05073	0.57101	lidar	0.210789	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9826	21.0692	4.87397	3.08219	0.579921	radar	0.926655	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7349	21.0429	4.86683	3.12499	0.594786	lidar	1.83645	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4885	21.0291	4.86682	3.16066	0.601894	radar	1.07702	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.265	21.0261	4.84681	3.18803	0.600097	lidar	0.603383	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0125	20.9869	4.85371	3.22796	0.611026	radar	4.15645	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7938	20.9519	4.82682	3.26205	0.616259	lidar	0.549749	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5454	20.9517	4.82647	3.2662	0.56457	radar	5.64219	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2748	20.976	4.86914	3.27214	0.538314	lidar	3.45621	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0357	20.9577	4.86726	3.29105	0.527194	radar	1.01527	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83033	20.9221	4.82902	3.31693	0.528589	lidar	1.63722	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59193	20.9155	4.81628	3.31352	0.47344	radar	2.38531	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38944	20.8651	4.77813	3.34113	0.479368	lidar	1.22608	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16307	20.8255	4.77092	3.36196	0.477165	radar	1.52477	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88596	20.7894	4.82083	3.37599	0.464641	lidar	1.92387	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66612	20.7115	4.80824	3.40941	0.478951	radar	4.50282	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40137	20.6249	4.84714	3.43863	0.483138	lidar	2.69745	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17273	20.5448	4.84838	3.46799	0.492678	radar	0.104717	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93355	20.4643	4.86022	3.49165	0.491187	lidar	0.13228	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71687	20.3779	4.85828	3.52521	0.513177	radar	3.51101	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42604	20.3179	4.92614	3.53063	0.488712	lidar	3.76958	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.19735	20.2202	4.92695	3.55393	0.485097	radar	0.22512	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.93801	20.1383	4.96089	3.56636	0.471005	lidar	1.00051	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.71448	20.0457	4.95362	3.58291	0.459605	radar	0.417691	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.46707	19.956	4.97564	3.59544	0.44748	lidar	0.551081	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.25074	19.8616	4.96534	3.613	0.443457	radar	2.72874	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.99133	19.7697	5.00074	3.62045	0.426284	lidar	1.20941	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.77081	19.6223	5.02194	3.66208	0.462327	radar	2.19257	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.57954	19.5023	4.99326	3.68692	0.465124	lidar	0.936039	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.37958	19.3523	4.99056	3.72106	0.480642	radar	1.69745	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16062	19.2524	4.98816	3.72915	0.463335	lidar	1.88297	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.96263	19.1404	4.95819	3.73665	0.435902	radar	4.48628	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.7892	18.9897	4.93158	3.76801	0.447336	lidar	0.608231	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
